Part,Skill,Difficulty,Question,Answer,Use
4,Expressions,1,"Write an expression for 9 more than a number n.","n + 9","Warm-up"
4,Equations,2,"Solve y + 17 = 42.","25","Practice"
4,Equations,2,"Solve 6p = 54.","9","Practice"
4,Equation stories,2,"Write a story for 4x = 28.","Answers vary; x = 7","Discussion"
4,Coordinate plane,1,"Plot or name the point with x = 3 and y = 6.","(3, 6)","Warm-up"
4,Coordinate distance,2,"What is the distance between (2, 4) and (9, 4)?","7 units","Practice"
4,Coordinate shape,3,"Points (1,1), (1,5), (6,5), and (6,1) form what shape?","Rectangle","Assessment"
4,Error analysis,3,"A student solves x - 8 = 20 and gets 12. Find the error.","They subtracted instead of adding; x = 28","Reteach"
4,Application,3,"Tickets cost $6 each plus a $4 fee. Write and evaluate an expression for 5 tickets.","6t + 4; $34","Assessment"
5,Area rectangle,1,"Find the area of a rectangle that is 8 by 11.","88 square units","Warm-up"
5,Area triangle,2,"Find the area of a triangle with base 14 and height 6.","42 square units","Practice"
5,Composite area,3,"A 10 by 8 rectangle has a 3 by 4 rectangle removed. Find the remaining area.","68 square units","Assessment"
5,Volume,2,"Find the volume of a prism that is 4 by 6 by 9.","216 cubic units","Practice"
5,Surface reasoning,3,"A box is 5 by 4 by 3. Which faces have area 20?","The 5 by 4 faces","Discussion"
5,Mean,2,"Find the mean of 8, 10, 10, 12.","10","Practice"
5,Median,1,"Find the median of 6, 9, 4, 12, 9.","9","Warm-up"
5,Data interpretation,3,"A data set has an outlier of 100. Which measure, mean or median, changes more?","Mean","Discussion"
5,Error analysis,3,"A student finds triangle area by multiplying base times height only. What is missing?","Divide by 2","Reteach"
5,Application,3,"A garden bed is 6.5 feet by 4 feet. Find its area.","26 square feet","Assessment"
6,Strategy selection,2,"Which model would help compare 3/4 and 70%?","Number line, benchmark, or conversion model","Discussion"
6,Multi-step,3,"A $60 item is 20% off, then has $3 tax. What is the final cost?","$51","Assessment"
6,Mixed operations,2,"Compute 12.8 + 4.75 - 3.6.","13.95","Practice"
6,Fraction-percent,2,"Write 3/5 as a percent.","60%","Warm-up"
6,Reasonableness,3,"Is 19.8 x 4.9 closer to 10, 100, or 1000? Explain.","100, because about 20 x 5 = 100","Discussion"
6,Multi-step geometry,3,"A rectangular floor is 12.5 by 9 feet. Carpet costs $4 per square foot. Find the cost.","$450","Assessment"
6,Error analysis,3,"A student gets 18 for 25% of 72. Is it reasonable? Explain.","Yes, one fourth of 72 is 18","Discussion"
6,Problem solving,3,"A team scores 18, 24, 20, and 26 points. What score is needed next game for a mean of 23?","27","Assessment"
6,Communication,2,"Write a sentence explaining why labels matter in math answers.","Answers vary; labels clarify what the number means","Reflection"
6,Readiness reflection,1,"Name one Grade 6 math skill you feel ready for and one you will keep practicing.","Answers vary","Reflection"
